    0.000000    0.700000    0.000000    0.100000    0.000000
    0.100000    0.697672   -0.046388    0.103861    0.076877
    0.200000    0.690763   -0.091422    0.115285    0.151081
    0.300000    0.679450   -0.134292    0.133950    0.221523
    0.400000    0.663987   -0.174213    0.159426    0.287161
    0.500000    0.644710   -0.210427    0.191184    0.347012
    0.600000    0.622024   -0.242217    0.228599    0.400163
    0.700000    0.596405   -0.268931    0.270959    0.445795
    0.800000    0.568391   -0.290000    0.317476    0.483208
    0.900000    0.538570   -0.304972    0.367298    0.511841
    1.000000    0.507568   -0.313542    0.419528    0.531304
    1.100000    0.476034   -0.315566    0.473235    0.541389
    1.200000    0.444623   -0.311088    0.527480    0.542085
    1.300000    0.413975   -0.300334    0.581331    0.533578
    1.400000    0.384699   -0.283713    0.633887    0.516239
    1.500000    0.357354   -0.261794    0.684288    0.490605
    1.600000    0.332438   -0.235283    0.731738    0.457355
    1.700000    0.310369   -0.204987    0.775514    0.417274
    1.800000    0.291482   -0.171783    0.814977    0.371224
    1.900000    0.276025   -0.136581    0.849573    0.320112
    2.000000    0.264149   -0.100296    0.878843    0.264864
    2.100000    0.255921   -0.063820    0.902420    0.206401
    2.200000    0.251315   -0.028009    0.920027    0.145628
    2.300000    0.250225    0.006336    0.931478    0.083420
    2.400000    0.252466    0.038472    0.936672    0.020622
    2.500000    0.257784    0.067719    0.935590   -0.041958
    2.600000    0.265859    0.093463    0.928293   -0.103549
    2.700000    0.276312    0.115159    0.914918   -0.163415
    2.800000    0.288715    0.132330    0.895671   -0.220864
    2.900000    0.302594    0.144575    0.870827   -0.275250
    3.000000    0.317441    0.151576    0.840723   -0.325982
    3.100000    0.332718    0.153103    0.805751   -0.372533
    3.200000    0.347871    0.149025    0.766352   -0.414455
    3.300000    0.362338    0.139319    0.723008   -0.451388
    3.400000    0.375558    0.124075    0.676231   -0.483071
    3.500000    0.386988    0.103501    0.626556   -0.509351
    3.600000    0.396110    0.077923    0.574525   -0.530186
    3.700000    0.402444    0.047783    0.520681   -0.545647
    3.800000    0.405561    0.013628    0.465553   -0.555912
    3.900000    0.405090   -0.023902    0.409648   -0.561256
    4.000000    0.400729   -0.064085    0.353440   -0.562040
    4.100000    0.392252   -0.106140    0.297364   -0.558696
    4.200000    0.379511   -0.149245    0.241809   -0.551710
    4.300000    0.362444   -0.192555    0.187114   -0.541602
    4.400000    0.341072   -0.235221    0.133564   -0.528911
    4.500000    0.315501   -0.276414    0.081390   -0.514182
    4.600000    0.285919   -0.315337    0.030769   -0.497944
    4.700000    0.252589   -0.351247   -0.018173   -0.480704
    4.800000    0.215848   -0.383466   -0.065360   -0.462933
    4.900000    0.176095   -0.411402   -0.110762   -0.445059
